Frame Number, VoiceEnergy, AmbientEnergy, VADFlag, CurrentFrameEnergy
1, 81990, 0, 0, 4098653
2, 191542, 0, 0, 5958452
3, 256488, 0, 0, 4372800
4, 302715, 0, 0, 3818896
5, 317696, 0, 0, 2528769
6, 340271, 0, 0, 2996484
7, 380325, 0, 0, 4002983
8, 450875, 0, 0, 5762936
9, 473962, 0, 0, 3805167
10, 514928, 0, 0, 4834665
11, 518670, 0, 0, 3214710
12, 554089, 45637, 0, 4820247
13, 577685, 103074, 0, 4437499
14, 612076, 140394, 0, 5115815
15, 618233, 196522, 0, 3906644
16, 588453, 247386, 0, 2146386
17, 599545, 305776, 0, 4014444
18, 594557, 348963, 0, 3275819
19, 612790, 370521, 0, 4407286
20, 641900, 414225, 0, 5058222
21, 645814, 448546, 0, 3969895
22, 667721, 496025, 0, 4892388
23, 662246, 550742, 0, 3652341
24, 683898, 591750, 0, 4976202
25, 683159, 643330, 0, 3984244
26, 669468, 679419, 0, 3332410
27, 654888, 730953, 0, 3207482
28, 661624, 769972, 0, 4187259
29, 667124, 800705, 0, 4165094
30, 681728, 829571, 0, 4652571
31, 745554, 869842, 0, 7199058
32, 731779, 909364, 0, 3695087
33, 731326, 954258, 0, 4280056
34, 746431, 1029155, 0, 5055073
35, 748761, 1061129, 0, 4505307
36, 758108, 1099735, 0, 4869774
37, 778082, 1147173, 0, 5455948
38, 783273, 1187449, 0, 4834426
39, 800121, 1231613, 0, 5447708
40, 781218, 1282278, 0, 3759592
41, 780344, 1324881, 0, 4549684
42, 797252, 1374328, 0, 5433440
43, 798348, 1402936, 0, 4742401
44, 769495, 1440677, 0, 3251720
45, 769575, 1488564, 0, 4528398
46, 737985, 1527589, 0, 2945770
47, 729798, 1548268, 0, 3929953
48, 712906, 1584010, 0, 3446611
49, 705738, 1600343, 0, 3833424
50, 714191, 1628283, 0, 4572166
51, 733304, 1650091, 0, 5154748
52, 716832, 1676277, 0, 3488225
53, 721533, 1711009, 0, 4449840
54, 699682, 1752312, 0, 3150151
55, 706548, 1773132, 0, 4457171
56, 734625, 1805235, 0, 5557881
57, 731077, 1821366, 0, 4142050
58, 720673, 1852979, 0, 3778484
59, 749589, 1897414, 0, 5682859
60, 753125, 1924335, 0, 4584216
61, 749622, 1946573, 0, 4253094
62, 747771, 1991384, 0, 4315044
63, 750082, 2022481, 0, 4512254
64, 753143, 2049234, 0, 4563352
65, 725512, 2076409, 0, 3047070
66, 763292, 2105624, 0, 6154435
67, 783446, 2135101, 0, 5495524
68, 800609, 2146039, 0, 5464480
69, 791322, 2194114, 0, 4243191
70, 779406, 2233710, 0, 4057135
71, 764686, 2272458, 0, 3846908
72, 752948, 2296094, 0, 3909410
73, 747653, 2317215, 0, 4162458
74, 758364, 2335562, 0, 4931474
75, 744989, 2354438, 0, 3790421
76, 728864, 2376123, 0, 3574239
77, 722265, 2406771, 0, 3955699
78, 732843, 2423366, 0, 4775544
79, 737094, 2437169, 0, 4521471
80, 753145, 2455382, 0, 5136342
81, 755673, 2483209, 0, 4554720
82, 741736, 2507655, 0, 3746483
83, 733984, 2539182, 0, 3973658
84, 720640, 2563356, 0, 3648581
85, 759419, 2577546, 0, 6175684
86, 733313, 2594291, 0, 3160175
87, 741251, 2606936, 0, 4708541
88, 744634, 2649738, 0, 4527523
89, 722165, 2655860, 0, 3255071
90, 716995, 2680479, 0, 3987728
91, 705572, 2702632, 0, 3644730
92, 708458, 2709258, 0, 4292868
93, 696222, 2724592, 0, 3553920
94, 694622, 2735628, 0, 4013691
95, 703801, 2754305, 0, 4543070
96, 697847, 2763896, 0, 3840570
97, 693314, 2778886, 0, 3876620
98, 707106, 2800045, 0, 4765981
99, 732013, 2812525, 0, 5402708
100, 716943, 2825288, 0, 3550729
101, 710579, 2848564, 0, 3897336
102, 753269, 2879197, 0, 6312063
103, 739188, 2887251, 0, 3725138
104, 747125, 2899366, 0, 4743064
105, 740958, 2940296, 0, 4084609
106, 743734, 2949709, 0, 4495419
107, 739573, 2971218, 0, 4164957
108, 740920, 2984572, 0, 4415816
109, 734687, 3002693, 0, 4044876
110, 741201, 3016633, 0, 4645364
111, 732680, 3033414, 0, 3932127
112, 709157, 3045545, 0, 3132055
113, 716676, 3064733, 0, 4545552
114, 722759, 3075137, 0, 4517978
115, 737940, 3075820, 0, 5008562
116, 748212, 3093448, 0, 4852394
117, 750841, 3110533, 0, 4530721
118, 743219, 3133297, 0, 4033709
119, 738266, 3153915, 0, 4122347
120, 711448, 3170428, 0, 3000259
121, 693025, 3180782, 0, 3262171
122, 672800, 3192075, 0, 3063792
123, 634717, 3189775, 0, 2052181
124, 667566, 3190644, 0, 5374088
125, 675853, 3189123, 0, 4339324
126, 685865, 3175488, 0, 4474356
127, 668317, 3201857, 0, 3155497
128, 697639, 3215500, 0, 5395302
129, 699982, 3230598, 0, 4219084
130, 700679, 3229698, 0, 4150525
131, 705590, 3255671, 0, 4365353
132, 720446, 3267226, 0, 4891340
133, 707513, 3277820, 0, 3589580
134, 756267, 3290864, 0, 6597172
135, 731031, 3310060, 0, 3185123
136, 736714, 3313413, 0, 4582395
