Frame Number, VoiceEnergy, AmbientEnergy, VADFlag, CurrentFrameEnergy
172, 707596, 2575701, 0, 2767298
173, 712695, 2584085, 0, 4708541
174, 709608, 2594467, 0, 3919846
175, 712779, 2600789, 0, 4527523
176, 707278, 2617013, 0, 3678739
177, 697869, 2638354, 0, 3255071
178, 691189, 2648526, 0, 3472352
179, 690056, 2651595, 0, 3987728
180, 694782, 2652289, 0, 4567244
181, 690008, 2664620, 0, 3644730
182, 681249, 2672148, 0, 3217588
183, 683756, 2683275, 0, 4292868
184, 682072, 2689245, 0, 3888491
185, 677144, 2692639, 0, 3553920
186, 676101, 2697315, 0, 3913281
187, 676123, 2705054, 0, 4013691
188, 673654, 2716222, 0, 3764619
189, 679111, 2721790, 0, 4543070
190, 673148, 2724764, 0, 3432708
191, 671615, 2734168, 0, 3840570
192, 677878, 2741091, 0, 4611626
193, 676424, 2745966, 0, 3876620
194, 688536, 2752967, 0, 5225305
195, 695339, 2760528, 0, 4765981
196, 695586, 2766550, 0, 4150384
197, 708335, 2777204, 0, 5402708
198, 707993, 2781135, 0, 4168524
199, 701496, 2787489, 0, 3550729
200, 684606, 2798428, 0, 2472168
201, 682960, 2804894, 0, 3897336
202, 681299, 2819409, 0, 3885960
203, 703983, 2831083, 0, 6312063
204, 697844, 2838995, 0, 3562685
205, 693692, 2854369, 0, 3725138
206, 698905, 2862250, 0, 4637472
207, 704864, 2866379, 0, 4743064
208, 720427, 2864016, 0, 5739255
209, 718529, 2870213, 0, 4084609
210, 727816, 2876305, 0, 5192482
211, 729586, 2896909, 0, 4495419
212, 726110, 2900902, 0, 3981000
213, 724678, 2905845, 0, 4164957
214, 725996, 2916230, 0, 4431685
215, 727077, 2927185, 0, 4415816
216, 714967, 2944049, 0, 3102289
217, 712996, 2950889, 0, 4044876
218, 706255, 2964332, 0, 3555955
219, 710802, 2973514, 0, 4645364
220, 721217, 2979556, 0, 5259560
221, 717748, 2986665, 0, 3932127
222, 708296, 2995331, 0, 3312966
223, 697597, 3003850, 0, 3132055
224, 701814, 3004441, 0, 4561004
225, 705627, 3010681, 0, 4545552
226, 709334, 3013951, 0, 4557697
227, 712424, 3023735, 0, 4517978
228, 721151, 3037143, 0, 5100289
229, 728445, 3042510, 0, 5008562
230, 719047, 3044132, 0, 3381718
231, 724905, 3044660, 0, 4852394
232, 726558, 3053754, 0, 4466454
233, 728756, 3062700, 0, 4530721
234, 727424, 3071666, 0, 4190612
235, 724601, 3080340, 0, 4033709
236, 721439, 3092454, 0, 3982913
237, 719857, 3103945, 0, 4122347
238, 719802, 3105611, 0, 4265701
239, 707104, 3116086, 0, 3000259
240, 695173, 3124184, 0, 3001756
241, 686553, 3132619, 0, 3262171
242, 688048, 3138964, 0, 4223169
243, 677867, 3144330, 0, 3063792
244, 682715, 3149359, 0, 4507049
245, 662740, 3155194, 0, 2052181
246, 664540, 3161854, 0, 4112296
247, 678844, 3160885, 0, 5374088
248, 687353, 3159931, 0, 4879167
249, 689962, 3160545, 0, 4339324
250, 691024, 3166918, 0, 4200099
251, 694764, 3166300, 0, 4474356
252, 686592, 3174341, 0, 3304551
253, 677414, 3167612, 0, 3155497
254, 690857, 3173277, 0, 5364360
255, 703813, 3186475, 0, 5395302
256, 708456, 3196626, 0, 4640519
