Frame Number, VoiceEnergy, AmbientEnergy, VADFlag, CurrentFrameEnergy
1, 65, 0, 0, 6553
2, 133, 0, 0, 7129
3, 263, 0, 0, 13775
4, 318, 0, 0, 7063
5, 399, 0, 0, 9958
6, 490, 0, 0, 11336
7, 552, 0, 0, 9058
8, 626, 0, 0, 10623
9, 689, 0, 0, 9911
10, 753, 0, 0, 10426
11, 783, 0, 0, 7456
12, 847, 0, 0, 10927
13, 945, 0, 0, 14825
14, 978, 0, 0, 8883
15, 996, 0, 0, 7579
16, 1034, 0, 0, 9610
17, 1047, 0, 0, 7373
18, 1059, 0, 0, 7348
19, 1071, 0, 0, 7449
20, 1103, 0, 0, 9600
21, 1117, 0, 0, 7807
22, 1133, 0, 0, 8193
23, 1167, 0, 0, 10018
24, 1157, 0, 0, 5960
25, 1177, 0, 0, 8760
26, 1184, 45, 0, 7693
27, 1218, 90, 0, 10379
28, 1259, 148, 0, 11301
29, 1260, 194, 0, 7420
30, 1296, 242, 0, 10986
31, 1304, 301, 0, 8436
32, 1311, 335, 0, 8386
33, 1355, 386, 0, 12129
34, 1382, 430, 0, 10675
35, 1389, 490, 0, 8904
36, 1368, 555, 0, 6187
37, 1407, 597, 0, 11980
38, 1387, 660, 0, 6384
39, 1378, 707, 0, 7378
40, 1389, 754, 0, 9303
41, 1391, 823, 0, 8413
42, 1379, 883, 0, 7018
43, 1403, 932, 0, 10604
44, 1419, 964, 0, 9868
45, 1477, 1031, 0, 14205
46, 1460, 1064, 0, 7017
47, 1463, 1102, 0, 8882
48, 1489, 1152, 0, 11147
49, 1508, 1196, 0, 10804
50, 1513, 1231, 0, 9425
51, 1539, 1288, 0, 11512
52, 1532, 1340, 0, 8342
53, 1562, 1418, 0, 12093
54, 1564, 1452, 0, 9337
55, 1588, 1497, 0, 11536
56, 1576, 1555, 0, 8260
57, 1563, 1611, 0, 7942
58, 1561, 1658, 0, 8959
59, 1545, 1718, 0, 7590
60, 1560, 1758, 0, 10591
61, 1602, 1820, 0, 13362
62, 1574, 1866, 0, 6683
63, 1580, 1924, 0, 9822
64, 1584, 1962, 0, 9760
65, 1575, 1998, 0, 8490
66, 1563, 2040, 0, 8017
67, 1568, 2074, 0, 9670
68, 1550, 2126, 0, 7415
69, 1552, 2194, 0, 9353
70, 1552, 2221, 0, 9135
71, 1543, 2267, 0, 8217
72, 1552, 2312, 0, 9980
73, 1527, 2350, 0, 6640
74, 1524, 2384, 0, 8740
75, 1521, 2428, 0, 8664
76, 1531, 2458, 0, 9956
77, 1538, 2500, 0, 9760
78, 1531, 2540, 0, 8402
79, 1525, 2575, 0, 8435
80, 1523, 2620, 0, 8787
81, 1536, 2645, 0, 10221
82, 1530, 2682, 0, 8432
83, 1556, 2718, 0, 11624
84, 1566, 2762, 0, 10137
85, 1578, 2804, 0, 10333
86, 1597, 2838, 0, 11138
87, 1594, 2872, 0, 9128
88, 1613, 2908, 0, 11392
89, 1598, 2952, 0, 8097
90, 1600, 2985, 0, 9649
91, 1644, 3037, 0, 13848
92, 1634, 3080, 0, 8655
93, 1624, 3124, 0, 8625
94, 1585, 3173, 0, 5660
95, 1586, 3209, 0, 9471
96, 1565, 3259, 0, 7290
97, 1546, 3289, 0, 7236
98, 1544, 3328, 0, 8813
99, 1557, 3392, 0, 10396
100, 1590, 3424, 0, 12436
101, 1627, 3456, 0, 13188
102, 1624, 3470, 0, 9348
103, 1646, 3506, 0, 11724
104, 1625, 3529, 0, 7603
105, 1671, 3552, 0, 14179
106, 1700, 3584, 0, 12783
107, 1687, 3625, 0, 8705
108, 1687, 3678, 0, 10034
109, 1704, 3736, 0, 11715
110, 1699, 3770, 0, 9605
111, 1707, 3818, 0, 10889
112, 1672, 3841, 0, 6671
113, 1674, 3903, 0, 10105
114, 1646, 3957, 0, 7100
115, 1623, 3986, 0, 7386
116, 1626, 4023, 0, 9903
117, 1637, 4070, 0, 10631
118, 1669, 4104, 0, 12871
119, 1665, 4145, 0, 9469
120, 1667, 4161, 0, 9963
121, 1671, 4197, 0, 10219
122, 1689, 4215, 0, 11615
123, 1734, 4235, 0, 14561
124, 1722, 4269, 0, 9045
125, 1781, 4308, 0, 16084
126, 1792, 4360, 0, 11566
127, 1777, 4391, 0, 9157
128, 1781, 4425, 0, 10855
129, 1777, 4460, 0, 10060
130, 1773, 4503, 0, 10072
131, 1772, 4564, 0, 10330
132, 1775, 4591, 0, 10788
133, 1740, 4660, 0, 6978
134, 1748, 4702, 0, 11026
135, 1716, 4729, 0, 7120
136, 1711, 4766, 0, 9632
137, 1703, 4798, 0, 9334
138, 1688, 4830, 0, 8534
139, 1674, 4863, 0, 8613
140, 1706, 4899, 0, 13098
141, 1759, 4912, 0, 15336
142, 1772, 4949, 0, 11706
143, 1755, 4963, 0, 8717
144, 1765, 4991, 0, 11325
145, 1779, 5018, 0, 11735
146, 1777, 5040, 0, 10256
147, 1779, 5062, 0, 10671
148, 1782, 5111, 0, 10766
149, 1755, 5173, 0, 7799
150, 1772, 5213, 0, 12075
151, 1748, 5235, 0, 8073
152, 1741, 5272, 0, 9676
153, 1725, 5311, 0, 8655
154, 1725, 5341, 0, 10186
155, 1717, 5373, 0, 9371
156, 1727, 5406, 0, 11134
157, 1749, 5421, 0, 12443
158, 1739, 5461, 0, 9331
159, 1751, 5477, 0, 11466
160, 1762, 5503, 0, 11473
161, 1758, 5522, 0, 9979
162, 1754, 5550, 0, 9967
163, 1750, 5573, 0, 9942
164, 1732, 5607, 0, 8552
165, 1711, 5648, 0, 8176
166, 1666, 5671, 0, 5640
167, 1636, 5706, 0, 6704
168, 1627, 5741, 0, 8771
169, 1606, 5767, 0, 7553
170, 1625, 5793, 0, 11361
171, 1607, 5818, 0, 7738
172, 1587, 5835, 0, 7552
173, 1565, 5850, 0, 7260
174, 1533, 5849, 0, 5988
175, 1524, 5855, 0, 8123
176, 1516, 5873, 0, 8195
177, 1521, 5884, 0, 9416
178, 1521, 5917, 0, 8947
179, 1523, 5928, 0, 9203
180, 1531, 5938, 0, 9784
181, 1545, 5946, 0, 10443
182, 1561, 5947, 0, 10620
183, 1599, 5961, 0, 12949
184, 1597, 5975, 0, 9269
185, 1603, 5996, 0, 10007
186, 1615, 6014, 0, 10653
187, 1588, 6034, 0, 6871
188, 1595, 6057, 0, 10109
189, 1582, 6084, 0, 8136
190, 1593, 6112, 0, 10502
191, 1583, 6153, 0, 8441
192, 1582, 6172, 0, 9231
193, 1579, 6195, 0, 9084
194, 1598, 6222, 0, 11302
195, 1571, 6226, 0, 6706
196, 1575, 6250, 0, 9666
197, 1572, 6262, 0, 8915
198, 1594, 6288, 0, 11492
199, 1594, 6301, 0, 9504
200, 1607, 6319, 0, 10712
201, 1613, 6336, 0, 10172
202, 1582, 6366, 0, 6484
203, 1609, 6369, 0, 12015
204, 1591, 6389, 0, 7726
205, 1612, 6405, 0, 11578
206, 1628, 6436, 0, 11156
