Frame Number, VoiceEnergy, AmbientEnergy, VADFlag, CurrentFrameEnergy
1, 122, 0, 0, 6553
2, 320, 0, 0, 11265
3, 435, 0, 0, 8007
4, 570, 0, 0, 9744
5, 695, 0, 0, 10016
6, 778, 0, 0, 8517
7, 915, 0, 0, 11850
8, 955, 0, 0, 7503
9, 1030, 0, 0, 9610
10, 1046, 0, 0, 6910
11, 1094, 0, 0, 8706
12, 1160, 0, 0, 9925
13, 1188, 78, 0, 8268
14, 1208, 176, 0, 8072
15, 1296, 286, 0, 11818
16, 1301, 376, 0, 7906
17, 1316, 463, 0, 8436
18, 1441, 591, 0, 14402
19, 1484, 674, 0, 10792
20, 1502, 762, 0, 9723
21, 1517, 916, 0, 9632
22, 1517, 1028, 0, 8948
23, 1499, 1126, 0, 7956
24, 1543, 1222, 0, 11172
25, 1504, 1309, 0, 7017
26, 1552, 1384, 0, 11464
27, 1555, 1495, 0, 9330
28, 1567, 1558, 0, 9779
29, 1558, 1670, 0, 8713
30, 1572, 1757, 0, 9936
31, 1541, 1848, 0, 7578
32, 1541, 1926, 0, 9111
33, 1621, 2017, 0, 13362
34, 1623, 2080, 0, 9604
35, 1569, 2160, 0, 6692
36, 1527, 2286, 0, 7014
37, 1537, 2369, 0, 9493
38, 1526, 2418, 0, 8521
39, 1484, 2470, 0, 6742
40, 1506, 2549, 0, 9930
41, 1526, 2617, 0, 9956
42, 1547, 2664, 0, 10113
43, 1532, 2746, 0, 8331
44, 1549, 2828, 0, 9956
45, 1563, 2910, 0, 9868
46, 1553, 2971, 0, 8680
47, 1540, 3050, 0, 8464
48, 1521, 3127, 0, 8071
49, 1613, 3190, 0, 13848
50, 1591, 3250, 0, 8329
51, 1579, 3305, 0, 8792
52, 1532, 3424, 0, 6775
53, 1536, 3480, 0, 9250
54, 1555, 3540, 0, 10080
55, 1601, 3577, 0, 11591
56, 1625, 3641, 0, 10721
57, 1685, 3714, 0, 12783
58, 1690, 3803, 0, 10179
59, 1686, 3881, 0, 9725
60, 1631, 3982, 0, 7030
61, 1605, 4052, 0, 8167
62, 1597, 4116, 0, 9031
63, 1627, 4149, 0, 11009
64, 1631, 4195, 0, 9792
65, 1643, 4250, 0, 10219
66, 1686, 4327, 0, 11951
67, 1791, 4389, 0, 15561
68, 1764, 4455, 0, 9073
69, 1781, 4540, 0, 11266
70, 1789, 4664, 0, 10923
71, 1760, 4714, 0, 8986
72, 1751, 4788, 0, 9901
73, 1738, 4857, 0, 9632
74, 1685, 4904, 0, 7403
75, 1696, 4961, 0, 10467
76, 1744, 5014, 0, 12535
77, 1750, 5041, 0, 10607
78, 1766, 5103, 0, 11151
79, 1797, 5187, 0, 12097
80, 1724, 5248, 0, 6717
81, 1685, 5315, 0, 8073
82, 1659, 5392, 0, 8508
83, 1678, 5407, 0, 10806
84, 1694, 5437, 0, 10764
85, 1680, 5472, 0, 9206
86, 1681, 5532, 0, 9919
87, 1736, 5591, 0, 12822
88, 1712, 5632, 0, 8925
89, 1628, 5681, 0, 5640
90, 1624, 5762, 0, 9375
91, 1613, 5798, 0, 8971
92, 1614, 5797, 0, 9582
93, 1595, 5838, 0, 8493
94, 1591, 5874, 0, 9195
95, 1511, 5916, 0, 5152
96, 1526, 5945, 0, 9681
97, 1553, 5982, 0, 10443
98, 1599, 5973, 0, 11581
99, 1630, 6015, 0, 11060
100, 1601, 6065, 0, 8046
101, 1630, 6128, 0, 11026
102, 1620, 6184, 0, 9023
103, 1602, 6205, 0, 8533
104, 1598, 6260, 0, 9265
105, 1603, 6292, 0, 9666
106, 1636, 6318, 0, 11213
107, 1655, 6352, 0, 10628
108, 1577, 6390, 0, 5644
109, 1579, 6445, 0, 9366
110, 1608, 6493, 0, 10847
111, 1558, 6484, 0, 6795
112, 1596, 6517, 0, 11246
113, 1602, 6566, 0, 9719
114, 1633, 6569, 0, 11141
115, 1622, 6622, 0, 9059
116, 1613, 6657, 0, 9081
117, 1646, 6708, 0, 11288
118, 1629, 6735, 0, 8784
119, 1645, 6762, 0, 10410
120, 1654, 6813, 0, 10149
121, 1651, 6836, 0, 9648
122, 1618, 6877, 0, 7959
123, 1637, 6914, 0, 10547
124, 1588, 6945, 0, 7023
125, 1644, 6957, 0, 12322
126, 1753, 6998, 0, 15509
127, 1699, 6999, 0, 7430
128, 1674, 7059, 0, 8639
129, 1725, 7155, 0, 12536
130, 1666, 7159, 0, 7037
131, 1700, 7176, 0, 11644
132, 1680, 7237, 0, 8911
133, 1724, 7235, 0, 12237
134, 1711, 7285, 0, 9480
135, 1726, 7304, 0, 10923
136, 1694, 7360, 0, 8450
137, 1647, 7384, 0, 7414
138, 1633, 7424, 0, 8906
139, 1672, 7436, 0, 11694
140, 1664, 7436, 0, 9425
141, 1621, 7453, 0, 7533
142, 1566, 7501, 0, 6605
143, 1565, 7523, 0, 9154
144, 1582, 7524, 0, 10112
145, 1661, 7514, 0, 13533
146, 1716, 7533, 0, 12711
147, 1697, 7563, 0, 9074
148, 1735, 7631, 0, 12018
149, 1684, 7689, 0, 7495
150, 1698, 7705, 0, 10638
151, 1765, 7754, 0, 13563
152, 1755, 7752, 0, 9889
153, 1755, 7785, 0, 10326
154, 1858, 7850, 0, 15802
155, 1815, 7873, 0, 8649
156, 1892, 7901, 0, 14771
157, 1872, 7990, 0, 10125
158, 1854, 7998, 0, 10046
159, 1861, 8075, 0, 11287
160, 1869, 8099, 0, 11409
161, 1879, 8121, 0, 11569
162, 1779, 8157, 0, 5727
163, 1771, 8194, 0, 10045
164, 1724, 8232, 0, 7958
165, 1687, 8204, 0, 8173
166, 1697, 8225, 0, 10490
167, 1686, 8222, 0, 9402
168, 1726, 8222, 0, 12074
169, 1706, 8248, 0, 9072
170, 1687, 8261, 0, 9024
171, 1723, 8304, 0, 11875
172, 1730, 8313, 0, 10525
173, 1727, 8321, 0, 10073
174, 1763, 8361, 0, 12086
175, 1749, 8386, 0, 9633
176, 1734, 8405, 0, 9452
177, 1688, 8447, 0, 7742
178, 1690, 8461, 0, 10058
179, 1690, 8473, 0, 9934
180, 1649, 8465, 0, 7747
181, 1728, 8483, 0, 13922
182, 1697, 8500, 0, 8564
183, 1684, 8492, 0, 9288
184, 1678, 8554, 0, 9561
185, 1744, 8555, 0, 13423
186, 1746, 8564, 0, 10372
187, 1743, 8576, 0, 10095
188, 1872, 8631, 0, 17118
189, 1858, 8651, 0, 10281
190, 2009, 8668, 0, 19023
191, 1929, 8764, 0, 7612
192, 1874, 8782, 0, 8409
193, 1814, 8898, 0, 7809
194, 1786, 8884, 0, 9189
195, 1731, 8879, 0, 7590
196, 1676, 8867, 0, 7266
197, 1679, 8871, 0, 10039
198, 1662, 8857, 0, 8972
199, 1666, 8840, 0, 9979
200, 1643, 8854, 0, 8628
201, 1658, 8856, 0, 10482
202, 1630, 8869, 0, 8291
203, 1655, 8867, 0, 10881
204, 1709, 8886, 0, 12679
205, 1730, 8880, 0, 11215
206, 1755, 8903, 0, 11557
207, 1736, 8946, 0, 9326
208, 1718, 8972, 0, 9244
209, 1707, 9002, 0, 9565
210, 1680, 9006, 0, 8690
211, 1686, 9009, 0, 10192
212, 1677, 9016, 0, 9460
213, 1693, 9013, 0, 10727
214, 1694, 9027, 0, 10006
215, 1660, 9032, 0, 8131
216, 1585, 9052, 0, 5774
217, 1489, 9063, 0, 4199
218, 1499, 9053, 0, 9287
219, 1498, 9017, 0, 8785
220, 1524, 8963, 0, 10227
221, 1618, 8967, 0, 13951
222, 1672, 8965, 0, 12406
223, 1590, 8980, 0, 5446
224, 1538, 9036, 0, 6654
225, 1517, 9074, 0, 7953
226, 1506, 9034, 0, 8338
227, 1487, 9008, 0, 7854
228, 1499, 8997, 0, 9407
229, 1524, 8990, 0, 10175
230, 1537, 8978, 0, 9618
231, 1601, 8983, 0, 12510
232, 1601, 8997, 0, 9459
233, 1565, 9004, 0, 7541
234, 1566, 9044, 0, 9248
235, 1621, 9049, 0, 12147
236, 1618, 9033, 0, 9374
237, 1584, 9036, 0, 7722
238, 1596, 9071, 0, 9923
239, 2276, 9075, 0, 45673
240, 2976, 9060, 0, 50714
241, 3181, 9070, 0, 28514
242, 3300, 9482, 0, 25147
243, 4266, 9946, 0, 71007
244, 3999, 10155, 0, 10900
245, 3774, 10324, 0, 11539
246, 3524, 11007, 0, 8935
247, 3407, 11006, 0, 14525
248, 3240, 11012, 0, 11198
249, 3144, 10989, 0, 13997
250, 3129, 11029, 0, 17737
251, 3452, 11031, 0, 35717
252, 3430, 11065, 0, 19161
253, 3311, 11141, 0, 13882
254, 3222, 11418, 0, 14802
255, 3192, 11506, 0, 17433
256, 3286, 11533, 0, 23867
257, 3911, 11570, 0, 52733
258, 4027, 11636, 0, 29273
259, 4189, 11774, 0, 32377
260, 4504, 12235, 0, 41497
261, 4615, 12427, 0, 32476
262, 4771, 12652, 0, 35535
263, 5127, 12977, 0, 47168
264, 5647, 13197, 0, 58009
265, 5921, 13449, 0, 47900
266, 6126, 13829, 0, 45884
267, 6198, 14326, 0, 40007
268, 6468, 14704, 0, 51003
269, 7079, 15055, 0, 70728
270, 7223, 15336, 0, 49479
271, 7061, 15738, 0, 34016
272, 7380, 16357, 0, 58674
273, 7408, 16730, 0, 45016
274, 7479, 16925, 0, 47474
275, 7597, 17395, 0, 50465
276, 7433, 17706, 0, 36146
277, 7943, 18041, 0, 71029
278, 7906, 18406, 0, 44905
279, 7667, 18606, 0, 33931
280, 7598, 19196, 0, 41573
281, 11384, 19196, 1, 246746
282, 11384, 19196, 0, 123284
283, 11384, 19196, 0, 129933
284, 11384, 19196, 0, 90481
285, 11384, 19196, 0, 192133
286, 11384, 19196, 0, 174216
287, 15777, 19196, 1, 245663
288, 28439, 19196, 1, 690957
289, 36359, 19196, 1, 450765
290, 46046, 19196, 1, 552919
291, 58119, 19196, 1, 689815
292, 76767, 19196, 1, 1052492
293, 101968, 19196, 1, 1420620
294, 123200, 19196, 1, 1234181
295, 131672, 19196, 1, 574992
296, 148270, 19196, 1, 1016769
297, 164897, 19196, 1, 1034905
298, 183204, 19196, 1, 1141123
299, 198931, 19196, 1, 1021817
300, 210174, 19196, 1, 798468
301, 242402, 19196, 1, 1928719
302, 262462, 19196, 1, 1312093
303, 262786, 19196, 1, 279736
304, 266009, 19196, 1, 434650
305, 269124, 19196, 1, 432095
306, 276157, 19196, 1, 644138
307, 281415, 19196, 1, 556503
308, 285166, 19196, 1, 481448
309, 292513, 19196, 1, 676938
310, 304526, 19196, 1, 933101
311, 304468, 19196, 1, 301420
312, 562759, 19196, 1, 14077736
313, 619353, 19196, 1, 3580634
314, 658515, 19196, 1, 2707657
315, 689694, 19196, 1, 2321153
316, 697173, 19196, 1, 1088485
317, 704991, 19196, 1, 1114074
318, 711442, 19196, 1, 1048960
319, 704258, 19196, 1, 328335
320, 787750, 19196, 1, 5156435
321, 791086, 19196, 1, 965623
322, 798883, 19196, 1, 1206866
323, 788969, 19196, 1, 270234
324, 778908, 19196, 1, 252464
325, 778908, 19196, 0, 149551
326, 778908, 19196, 0, 37432
327, 778908, 19196, 0, 51838
328, 778908, 19196, 0, 52900
329, 778908, 19196, 0, 36952
330, 778908, 19196, 0, 66985
331, 778908, 19196, 0, 87757
332, 778908, 19196, 0, 72501
333, 778908, 19196, 0, 47682
334, 778908, 19196, 0, 51712
335, 778908, 19196, 0, 138325
336, 778908, 19196, 0, 75709
337, 778908, 19562, 0, 65000
338, 778908, 20898, 0, 69423
339, 778908, 21515, 0, 60685
340, 778908, 22005, 0, 54544
341, 778908, 22539, 0, 59344
342, 778908, 22968, 0, 66382
343, 778908, 23324, 0, 77892
344, 778908, 23730, 0, 28910
345, 778908, 24210, 0, 48984
346, 778908, 24814, 0, 54302
347, 778908, 24861, 0, 31483
348, 778908, 25133, 0, 43402
349, 778908, 25462, 0, 42851
350, 778908, 25530, 0, 62983
351, 693809, 25731, 0, 61859
352, 617605, 25924, 0, 33689
353, 550020, 26341, 0, 43286
354, 490088, 26741, 0, 52224
355, 436621, 26820, 0, 43084
356, 389629, 27006, 0, 72577
357, 347490, 27290, 0, 53825
358, 310023, 27468, 0, 54160
359, 276306, 27976, 0, 32801
360, 246869, 28267, 0, 61959
361, 220242, 28559, 0, 37957
362, 196977, 28607, 0, 60004
363, 176347, 28983, 0, 63133
364, 158036, 29084, 0, 64981
365, 141949, 29432, 0, 75397
366, 127243, 29811, 0, 54064
367, 114288, 30207, 0, 60627
368, 102928, 30716, 0, 69120
369, 92924, 30979, 0, 74362
370, 83898, 31313, 0, 67420
371, 75643, 31739, 0, 55223
372, 68190, 32219, 0, 49231
373, 61484, 32615, 0, 45039
374, 55553, 32870, 0, 46802
375, 49953, 33054, 0, 29483
376, 45017, 33189, 0, 31754
377, 40865, 33343, 0, 44444
378, 36913, 33300, 0, 30591
379, 33400, 33283, 0, 30613
380, 30127, 33409, 0, 22679
381, 27389, 33378, 0, 31928
382, 24940, 33347, 0, 31117
383, 22743, 33228, 0, 30099
384, 21220, 33214, 0, 53109
385, 19584, 33191, 0, 38069
386, 17912, 33157, 0, 26465
387, 16253, 33382, 0, 17292
388, 14691, 33435, 0, 12657
389, 13294, 33357, 0, 12234
390, 12003, 33177, 0, 9651
391, 10828, 32947, 0, 8208
392, 9857, 32715, 0, 12199
393, 8955, 32456, 0, 10122
394, 8078, 32184, 0, 6108
395, 7355, 31960, 0, 9142
396, 6775, 31715, 0, 12503
397, 6209, 31428, 0, 9828
398, 5773, 31178, 0, 13431
399, 5317, 30968, 0, 9797
400, 4881, 30731, 0, 8122
401, 4657, 30537, 0, 16809
402, 4316, 30304, 0, 9283
403, 4034, 30055, 0, 10415
404, 3777, 29907, 0, 10092
405, 3588, 29676, 0, 12229
406, 3360, 29460, 0, 9006
407, 3158, 29243, 0, 9081
408, 2958, 29052, 0, 7950
409, 2833, 28827, 0, 10818
410, 2682, 28605, 0, 8675
411, 2576, 28373, 0, 10158
412, 2453, 28176, 0, 8625
413, 2333, 27957, 0, 8040
414, 2197, 27757, 0, 6487
415, 2082, 27542, 0, 6814
416, 2076, 27323, 0, 11983
417, 1987, 27089, 0, 7513
418, 1918, 26861, 0, 8003
419, 1867, 26694, 0, 8564
420, 1864, 26479, 0, 10854
421, 1886, 26272, 0, 12153
422, 1936, 26073, 0, 13808
423, 1994, 25902, 0, 14492
424, 2034, 25748, 0, 13814
425, 2060, 25614, 0, 13372
426, 2111, 25489, 0, 14915
427, 2120, 25358, 0, 12901
428, 2174, 25224, 0, 15381
429, 2221, 25109, 0, 15279
430, 2241, 24972, 0, 14144
431, 2463, 24865, 0, 25091
432, 2514, 24758, 0, 17201
433, 2436, 24639, 0, 10615
434, 2473, 24645, 0, 16351
435, 2434, 24562, 0, 12488
436, 2650, 24406, 0, 25895
437, 2637, 24316, 0, 14949
438, 2566, 24183, 0, 11758
439, 2532, 24203, 0, 13292
440, 2406, 24099, 0, 8218
441, 2341, 23961, 0, 10686
442, 2361, 23842, 0, 14868
443, 2276, 23667, 0, 9386
444, 2358, 23522, 0, 17766
445, 2363, 23425, 0, 14198
446, 2230, 23268, 0, 6855
447, 2117, 23207, 0, 7138
448, 2148, 23106, 0, 14130
449, 2151, 22924, 0, 12803
450, 2122, 22747, 0, 11119
451, 2102, 22651, 0, 11446
452, 2081, 22541, 0, 11290
453, 2199, 22413, 0, 18584
454, 2535, 22290, 0, 30889
455, 2586, 22167, 0, 17698
456, 2544, 22127, 0, 12979
457, 2493, 22226, 0, 12286
458, 2456, 22176, 0, 12729
459, 2369, 22073, 0, 9846
460, 2395, 21963, 0, 15374
461, 2317, 21860, 0, 9945
462, 2278, 21725, 0, 11609
463, 2211, 21654, 0, 9820
464, 2143, 21523, 0, 9421
465, 2075, 21412, 0, 8985
466, 1973, 21282, 0, 6815
467, 1906, 21149, 0, 8029
468, 1879, 21013, 0, 9806
469, 1851, 20854, 0, 9560
470, 1811, 20710, 0, 8786
471, 1912, 20588, 0, 16000
472, 1878, 20464, 0, 9486
473, 1858, 20333, 0, 10006
474, 1845, 20285, 0, 10267
475, 1872, 20164, 0, 12313
476, 1820, 20050, 0, 8251
477, 1766, 19940, 0, 7824
478, 1729, 19855, 0, 8469
479, 1733, 19725, 0, 10438
480, 1743, 19592, 0, 10757
481, 1747, 19467, 0, 10480
482, 1835, 19366, 0, 14940
483, 1791, 19270, 0, 8501
484, 1751, 19172, 0, 8417
485, 1751, 19125, 0, 10326
486, 1693, 19006, 0, 7211
487, 1645, 18887, 0, 7411
488, 1642, 18791, 0, 9542
489, 1610, 18661, 0, 7904
490, 1646, 18535, 0, 11361
491, 1634, 18434, 0, 9023
492, 1672, 18316, 0, 11644
493, 1674, 18238, 0, 9966
494, 1697, 18135, 0, 11062
495, 1693, 18063, 0, 9759
496, 1703, 17972, 0, 10486
497, 1730, 17895, 0, 11438
498, 1715, 17804, 0, 9427
499, 1709, 17722, 0, 9772
500, 1716, 17652, 0, 10499
501, 1679, 17560, 0, 8123
502, 1697, 17473, 0, 10840
503, 1846, 17395, 0, 17960
504, 1880, 17291, 0, 12742
505, 1810, 17219, 0, 7348
506, 1774, 17228, 0, 8705
507, 1769, 17178, 0, 10198
508, 1735, 17068, 0, 8590
509, 1717, 16974, 0, 9245
510, 1783, 16898, 0, 13644
511, 1758, 16805, 0, 9172
512, 1759, 16720, 0, 10376
513, 1720, 16686, 0, 8212
514, 1672, 16602, 0, 7594
515, 1692, 16532, 0, 10901
516, 1721, 16439, 0, 11488
517, 1758, 16340, 0, 12157
518, 1719, 16279, 0, 8216
519, 1731, 16226, 0, 10806
520, 1777, 16181, 0, 12673
521, 1698, 16092, 0, 6272
522, 1728, 16033, 0, 11620
523, 1804, 15996, 0, 14274
524, 1775, 15887, 0, 9116
525, 1733, 15840, 0, 8226
526, 1792, 15823, 0, 13375
527, 1764, 15748, 0, 9071
528, 1760, 15664, 0, 10152
529, 1795, 15639, 0, 12216
530, 1832, 15566, 0, 12539
531, 1825, 15506, 0, 10442
532, 1834, 15470, 0, 11285
533, 1837, 15438, 0, 10948
534, 1827, 15382, 0, 10314
535, 1796, 15336, 0, 9165
536, 1795, 15287, 0, 10552
537, 1881, 15232, 0, 15177
538, 1834, 15164, 0, 8544
539, 1771, 15113, 0, 7416
540, 1757, 15114, 0, 9737
541, 1772, 15041, 0, 11108
542, 1895, 14956, 0, 17025
543, 1916, 14898, 0, 12272
544, 1818, 14856, 0, 6042
545, 1795, 14881, 0, 9459
546, 1728, 14852, 0, 7023
547, 1674, 14753, 0, 7324
548, 1635, 14694, 0, 7759
549, 1604, 14608, 0, 7959
550, 1570, 14527, 0, 7643
551, 1589, 14451, 0, 10252
552, 1759, 14378, 0, 18413
553, 1779, 14303, 0, 11373
554, 1746, 14258, 0, 8745
555, 1741, 14305, 0, 10009
556, 1709, 14273, 0, 8535
557, 1686, 14211, 0, 8862
558, 1714, 14164, 0, 11424
559, 1710, 14101, 0, 9910
560, 1728, 14043, 0, 11064
561, 1728, 14014, 0, 10194
562, 1691, 13968, 0, 8229
563, 1680, 13936, 0, 9381
564, 1641, 13894, 0, 7810
565, 1602, 13831, 0, 7530
566, 1597, 13781, 0, 9176
567, 1596, 13714, 0, 9356
568, 1609, 13645, 0, 10110
569, 1614, 13595, 0, 9724
570, 1650, 13548, 0, 11425
571, 1686, 13510, 0, 11664
572, 1675, 13468, 0, 9344
573, 1710, 13446, 0, 11771
574, 1657, 13426, 0, 7289
575, 1681, 13381, 0, 11082
576, 1701, 13363, 0, 10950
577, 1642, 13295, 0, 6841
578, 1647, 13271, 0, 9912
579, 1661, 13245, 0, 10408
580, 1706, 13173, 0, 12176
581, 1637, 13137, 0, 6347
582, 1653, 13107, 0, 10494
583, 1625, 13097, 0, 8240
584, 1632, 13022, 0, 9945
585, 1656, 12994, 0, 10890
586, 1702, 12941, 0, 12252
587, 1744, 12908, 0, 12220
588, 1800, 12886, 0, 13255
589, 1749, 12879, 0, 7844
590, 1718, 12872, 0, 8605
591, 1742, 12877, 0, 11461
592, 1821, 12821, 0, 14468
593, 1802, 12774, 0, 9662
594, 1793, 12760, 0, 10112
595, 1760, 12780, 0, 8830
596, 1769, 12745, 0, 10858
597, 1757, 12716, 0, 9806
598, 1723, 12673, 0, 8490
599, 1740, 12653, 0, 11058
600, 1695, 12621, 0, 7890
601, 1649, 12575, 0, 7512
602, 1644, 12558, 0, 9446
603, 1620, 12506, 0, 8392
604, 1702, 12450, 0, 13895
605, 1715, 12417, 0, 10718
606, 1829, 12372, 0, 16189
607, 1800, 12390, 0, 9247
608, 1842, 12372, 0, 12807
609, 1881, 12415, 0, 12932
610, 1936, 12380, 0, 14020
611, 1947, 12385, 0, 11958
612, 1917, 12392, 0, 9908
613, 1897, 12411, 0, 10198
614, 1894, 12406, 0, 11000
615, 1884, 12378, 0, 10625
616, 1843, 12354, 0, 8912
617, 1807, 12339, 0, 8958
618, 1798, 12320, 0, 10175
619, 1727, 12282, 0, 6801
620, 1736, 12245, 0, 10634
621, 1716, 12222, 0, 9125
622, 2132, 12162, 0, 32302
623, 2145, 12145, 0, 13255
624, 2106, 12112, 0, 10576
625, 2174, 12340, 0, 16030
626, 2196, 12351, 0, 13947
627, 2159, 12332, 0, 10936
628, 2120, 12374, 0, 10638
629, 2122, 12392, 0, 12585
630, 2137, 12376, 0, 13296
631, 2067, 12357, 0, 8881
632, 2040, 12360, 0, 10730
633, 1998, 12371, 0, 9765
634, 1991, 12332, 0, 11388
635, 1944, 12314, 0, 9173
636, 1933, 12286, 0, 10899
637, 1949, 12276, 0, 12254
638, 1974, 12242, 0, 12842
639, 2290, 12227, 0, 28489
640, 2280, 12228, 0, 12945
641, 2156, 12235, 0, 6795
642, 2130, 12418, 0, 11326
643, 2047, 12424, 0, 8118
644, 2017, 12361, 0, 10416
645, 1998, 12350, 0, 10924
646, 2015, 12303, 0, 12663
647, 2089, 12282, 0, 15797
648, 2055, 12267, 0, 10501
649, 2043, 12272, 0, 11414
650, 2037, 12312, 0, 11722
651, 2132, 12292, 0, 17025
652, 2210, 12283, 0, 16730
653, 2102, 12277, 0, 7299
654, 2085, 12331, 0, 11484
655, 2025, 12381, 0, 9095
656, 1987, 12324, 0, 9893
657, 1893, 12315, 0, 6667
658, 1888, 12279, 0, 10897
659, 1909, 12253, 0, 12283
660, 1870, 12191, 0, 9137
661, 2531, 12177, 0, 46273
662, 3118, 12179, 0, 46266
663, 3066, 12145, 0, 15609
664, 2989, 12529, 0, 13974
665, 2851, 12909, 0, 10265
666, 2716, 12940, 0, 9620
667, 2609, 12952, 0, 10318
668, 2438, 12922, 0, 6287
669, 2462, 12885, 0, 15636
670, 2384, 12857, 0, 10318
671, 2296, 12784, 0, 9337
672, 2178, 12817, 0, 7271
673, 2196, 12789, 0, 13841
674, 2409, 12751, 0, 24313
675, 2354, 12690, 0, 11215
676, 2311, 12703, 0, 11579
677, 2276, 12834, 0, 11773
678, 2389, 12816, 0, 19416
679, 2316, 12803, 0, 10183
680, 2298, 12792, 0, 12706
681, 2307, 12867, 0, 14055
682, 2275, 12837, 0, 11909
683, 2241, 12836, 0, 11616
684, 2184, 12850, 0, 10202
685, 2130, 12840, 0, 9996
686, 2156, 12827, 0, 13933
687, 2109, 12798, 0, 10232
688, 2026, 12767, 0, 7959
689, 1981, 12781, 0, 9537
690, 1925, 12753, 0, 8691
691, 1826, 12700, 0, 6044
692, 1842, 12665, 0, 11671
693, 1805, 12621, 0, 8863
694, 1761, 12548, 0, 8287
695, 1802, 12539, 0, 12578
696, 1754, 12498, 0, 8033
697, 1687, 12451, 0, 6765
698, 1631, 12453, 0, 6966
699, 1640, 12404, 0, 10044
700, 1643, 12341, 0, 9764
701, 1626, 12281, 0, 8795
702, 1737, 12256, 0, 15490
703, 1730, 12228, 0, 9851
704, 1685, 12190, 0, 7821
705, 1665, 12228, 0, 8807
706, 1665, 12202, 0, 9820
707, 1694, 12153, 0, 11400
708, 1678, 12116, 0, 9068
709, 1650, 12091, 0, 8422
710, 1664, 12084, 0, 10486
711, 1778, 12051, 0, 15926
712, 1921, 12011, 0, 18108
713, 1874, 11994, 0, 8832
714, 1830, 12039, 0, 8669
715, 1817, 12108, 0, 10105
716, 1797, 12072, 0, 9608
717, 1900, 12034, 0, 16075
718, 2262, 12013, 0, 30541
719, 2233, 11986, 0, 11816
720, 2235, 12032, 0, 13242
721, 2215, 12241, 0, 12101
722, 2163, 12237, 0, 10239
723, 2148, 12249, 0, 11942
724, 2112, 12248, 0, 10743
725, 2076, 12226, 0, 10516
726, 2065, 12223, 0, 11675
727, 2797, 12207, 0, 51196
728, 2754, 12188, 0, 14227
729, 2695, 12183, 0, 13099
730, 2640, 12622, 0, 12943
731, 2649, 12641, 0, 16008
732, 2503, 12647, 0, 7889
733, 2453, 12651, 0, 12087
734, 2354, 12689, 0, 9163
735, 2291, 12636, 0, 10506
736, 2252, 12630, 0, 11365
737, 2213, 12592, 0, 11246
738, 2147, 12569, 0, 9527
739, 2085, 12556, 0, 9354
740, 2006, 12542, 0, 8053
741, 1907, 12509, 0, 6593
742, 1880, 12474, 0, 9780
743, 1794, 12425, 0, 6475
744, 1793, 12360, 0, 10515
745, 1789, 12331, 0, 10366
746, 1773, 12266, 0, 9683
747, 1780, 12247, 0, 10875
748, 1750, 12226, 0, 8879
749, 1752, 12198, 0, 10450
750, 1691, 12184, 0, 7057
751, 1706, 12147, 0, 10769
752, 1704, 12128, 0, 9930
753, 1837, 12071, 0, 17078
754, 1797, 12057, 0, 8716
755, 1819, 12034, 0, 11742
756, 1785, 12091, 0, 8894
757, 1820, 12054, 0, 12418
758, 1791, 12051, 0, 9145
759, 1819, 12016, 0, 12049
760, 1849, 12021, 0, 12309
761, 1820, 11989, 0, 9381
762, 1821, 11990, 0, 10727
763, 1832, 11994, 0, 11304
764, 1805, 11965, 0, 9384
765, 1770, 11952, 0, 8755
766, 1768, 11945, 0, 10298
767, 1691, 11917, 0, 6299
768, 1692, 11882, 0, 10017
769, 1670, 11865, 0, 8755
770, 1698, 11803, 0, 11317
771, 1700, 11783, 0, 10090
772, 1652, 11749, 0, 7443
773, 1650, 11745, 0, 9642
774, 1597, 11727, 0, 6915
775, 1608, 11679, 0, 9991
776, 1619, 11657, 0, 10066
777, 1600, 11604, 0, 8518
778, 1658, 11586, 0, 12563
779, 1631, 11569, 0, 8330
780, 1576, 11535, 0, 6617
781, 1560, 11547, 0, 8377
782, 1584, 11511, 0, 10495
783, 1631, 11456, 0, 11806
784, 1609, 11422, 0, 8383
785, 1672, 11412, 0, 12826
786, 1662, 11417, 0, 9329
787, 1627, 11383, 0, 7903
788, 1649, 11400, 0, 10743
