Frame Number, VoiceEnergy, AmbientEnergy, VADFlag, CurrentFrameEnergy
1, 76862, 0, 0, 4098653
2, 174627, 0, 0, 5667167
3, 240320, 0, 0, 4534249
4, 297813, 0, 0, 4484988
5, 329353, 0, 0, 3440543
6, 371603, 0, 0, 4197888
7, 410223, 0, 0, 4253850
8, 445063, 0, 0, 4280357
9, 470649, 0, 0, 3992626
10, 489143, 0, 0, 3765528
11, 510976, 0, 0, 4052799
12, 508355, 0, 0, 2877806
13, 559439, 42347, 0, 5726076
14, 589040, 87448, 0, 4882152
15, 617463, 118828, 0, 4994146
16, 622099, 181886, 0, 3893583
17, 593457, 234744, 0, 2146386
18, 599803, 288267, 0, 3842953
19, 628643, 328812, 0, 5079953
20, 646520, 349252, 0, 4665684
21, 657462, 388542, 0, 4401420
22, 663471, 441301, 0, 4203002
23, 679516, 488808, 0, 4773673
24, 704036, 532809, 0, 5320351
25, 716630, 574083, 0, 4829233
26, 714587, 621311, 0, 4123067
27, 699502, 674156, 0, 3415537
28, 725710, 720883, 0, 5528429
29, 720988, 759144, 0, 4033839
30, 706022, 789018, 0, 3459676
31, 713985, 842317, 0, 4593919
32, 712900, 878208, 0, 4158537
33, 768955, 907239, 0, 7199058
34, 749382, 948699, 0, 3497282
35, 747997, 984796, 0, 4351547
36, 764406, 1054680, 0, 5292254
37, 748183, 1082149, 0, 3649066
38, 772071, 1118916, 0, 5692185
39, 761798, 1165849, 0, 4011568
40, 765361, 1193775, 0, 4688717
41, 763560, 1244363, 0, 4423723
42, 759182, 1275483, 0, 4275646
43, 770476, 1313868, 0, 5085525
44, 771301, 1348841, 0, 4594019
45, 778927, 1381756, 0, 4961535
46, 772782, 1423408, 0, 4272159
47, 755913, 1459064, 0, 3664057
48, 755674, 1498452, 0, 4451197
49, 727230, 1529645, 0, 2945770
50, 718568, 1553649, 0, 3832705
51, 700215, 1586235, 0, 3264752
52, 687020, 1601524, 0, 3431479
53, 687487, 1626616, 0, 4082039
54, 680589, 1645039, 0, 3692019
55, 671340, 1665129, 0, 3525967
56, 692191, 1692309, 0, 5076420
57, 707883, 1714798, 0, 4924411
58, 684847, 1735166, 0, 2951984
59, 699508, 1772741, 0, 4826072
60, 699688, 1808184, 0, 4140485
61, 715917, 1821047, 0, 4997343
62, 696812, 1854841, 0, 3208993
63, 708644, 1880545, 0, 4745921
64, 719940, 1915596, 0, 4787217
65, 719969, 1930142, 0, 4253094
66, 726075, 1961808, 0, 4577297
67, 731290, 1993582, 0, 4565820
68, 734143, 2018992, 0, 4470708
69, 732861, 2047763, 0, 4267017
70, 734919, 2076081, 0, 4437547
71, 718992, 2103011, 0, 3490681
72, 723171, 2127347, 0, 4468800
73, 745432, 2153327, 0, 5457700
74, 749182, 2168367, 0, 4602063
75, 733132, 2194238, 0, 3568367
76, 736558, 2230939, 0, 4512136
77, 735603, 2257605, 0, 4298756
78, 720001, 2272346, 0, 3512023
79, 730638, 2297535, 0, 4819138
80, 722542, 2320041, 0, 3883006
81, 709552, 2333446, 0, 3574239
82, 713397, 2361400, 0, 4395223
83, 723419, 2378512, 0, 4747308
84, 722195, 2391959, 0, 4206818
85, 724784, 2414488, 0, 4402906
86, 725603, 2440723, 0, 4323783
87, 705396, 2460585, 0, 3207434
88, 710194, 2482428, 0, 4421514
89, 712471, 2503136, 0, 4315355
90, 727500, 2511057, 0, 5008852
91, 724619, 2532542, 0, 4142559
92, 706468, 2552592, 0, 3311258
93, 719042, 2580215, 0, 4842502
94, 718937, 2597785, 0, 4240687
95, 702843, 2605809, 0, 3387400
96, 691287, 2630963, 0, 3534343
97, 683080, 2649066, 0, 3644730
98, 693635, 2657370, 0, 4596642
99, 693590, 2667233, 0, 4093799
100, 683173, 2678226, 0, 3540439
101, 703427, 2699800, 0, 5114457
102, 689852, 2715477, 0, 3430138
103, 714552, 2724755, 0, 5390966
104, 741949, 2751629, 0, 5680624
105, 737615, 2759260, 0, 4150384
106, 724086, 2788856, 0, 3634464
107, 691279, 2821377, 0, 2526595
108, 682525, 2836323, 0, 3615489
109, 684848, 2845299, 0, 4154418
110, 680115, 2841715, 0, 3791870
111, 694685, 2850417, 0, 4793282
112, 704868, 2865082, 0, 4645429
113, 711110, 2875505, 0, 4495419
114, 717649, 2897072, 0, 4548078
115, 724542, 2916734, 0, 4605571
116, 718453, 2934488, 0, 3953989
117, 713165, 2952634, 0, 3960753
118, 727401, 2971223, 0, 4970660
119, 708456, 2982275, 0, 3285346
120, 723799, 2993279, 0, 5001860
121, 729113, 3015517, 0, 4557697
122, 742539, 3018552, 0, 5021681
123, 730428, 3040856, 0, 3739229
124, 745085, 3057914, 0, 5095012
125, 751555, 3079998, 0, 4745006
126, 751604, 3087412, 0, 4440860
127, 744157, 3109989, 0, 4041393
128, 719403, 3128376, 0, 3074487
129, 700908, 3143136, 0, 3262171
130, 692631, 3153238, 0, 3697775
131, 655838, 3152353, 0, 2128300
132, 659829, 3153588, 0, 4085738
133, 689899, 3159708, 0, 5499985
134, 684777, 3148110, 0, 3800983
135, 671430, 3158655, 0, 3332101
136, 707931, 3184985, 0, 5911438
137, 716555, 3191913, 0, 4640519
138, 704866, 3193490, 0, 3608232
139, 724896, 3224056, 0, 5230633
140, 723986, 3239986, 0, 4232311
141, 717198, 3244128, 0, 3913469
142, 707969, 3266468, 0, 3743189
143, 739671, 3277330, 0, 5871346
144, 709992, 3284484, 0, 2785444
145, 717298, 3289643, 0, 4582395
146, 716035, 3318677, 0, 4168550
147, 732126, 3312681, 0, 5086497
148, 740177, 3326960, 0, 4752812
149, 747842, 3336425, 0, 4779798
150, 737750, 3356106, 0, 3878167
151, 741003, 3371813, 0, 4530245
152, 755923, 3387647, 0, 5171567
153, 748802, 3393164, 0, 4084271
154, 741937, 3405952, 0, 4055915
155, 739954, 3425808, 0, 4275718
156, 733073, 3433213, 0, 4002766
157, 735731, 3440216, 0, 4470825
158, 751497, 3449612, 0, 5185463
159, 737839, 3455833, 0, 3709551
160, 726919, 3467248, 0, 3774916
161, 711778, 3486571, 0, 3485303
162, 731143, 3489079, 0, 5235948
163, 770897, 3492294, 0, 6437544
164, 760676, 3492216, 0, 4007450
165, 751515, 3511826, 0, 4003576
166, 744952, 3544728, 0, 4088021
167, 749421, 3549932, 0, 4637571
168, 755502, 3555034, 0, 4749933
169, 749017, 3561028, 0, 4115705
170, 728516, 3573135, 0, 3330040
171, 708999, 3586369, 0, 3261476
172, 710179, 3592322, 0, 4249862
173, 687025, 3589373, 0, 2959208
174, 698151, 3585686, 0, 4650430
175, 679770, 3593156, 0, 3142737
176, 677820, 3586027, 0, 3910301
177, 687132, 3597997, 0, 4499353
178, 699573, 3592878, 0, 4721189
179, 690520, 3596448, 0, 3648524
180, 693422, 3606602, 0, 4232573
181, 684954, 3619137, 0, 3643356
182, 697386, 3619468, 0, 4707859
183, 684982, 3626363, 0, 3456885
184, 694894, 3626555, 0, 4573688
185, 702341, 3638716, 0, 4500708
186, 715486, 3636672, 0, 4848584
187, 724393, 3647210, 0, 4700191
188, 724975, 3656809, 0, 4308896
189, 699180, 3670212, 0, 2905745
190, 691848, 3681795, 0, 3737963
191, 701334, 3688848, 0, 4591466
192, 681771, 3680042, 0, 3098526
193, 681820, 3680694, 0, 4028748
194, 679758, 3690937, 0, 3916476
195, 666756, 3684275, 0, 3320904
196, 691212, 3688149, 0, 5241583
197, 693699, 3690717, 0, 4214528
198, 698412, 3686559, 0, 4347887
199, 714402, 3704047, 0, 4977108
200, 721182, 3709788, 0, 4580417
201, 731813, 3716964, 0, 4825770
202, 729230, 3731136, 0, 4183941
203, 726758, 3740687, 0, 4174586
204, 732197, 3752890, 0, 4581855
205, 733669, 3757738, 0, 4402396
206, 729801, 3762426, 0, 4126364
207, 736826, 3771642, 0, 4684308
208, 737724, 3778736, 0, 4399177
209, 772203, 3782646, 0, 6195129
210, 758317, 3792786, 0, 3819702
211, 738634, 3799606, 0, 3428602
212, 755517, 3826546, 0, 5262192
213, 727417, 3826470, 0, 2963153
214, 725713, 3821996, 0, 4204813
215, 717245, 3838193, 0, 3834089
216, 737862, 3828353, 0, 5334978
217, 724811, 3832587, 0, 3661378
218, 746171, 3832604, 0, 5419372
219, 733357, 3849500, 0, 3723162
